Filename,Phonetics
2c48a79bb1344cec8089f1e2b7531b13.pcm,ba
3da8298f505e4be7aef95f52a26905ba.pcm,ba
3fb5d235d66946979cd3cd6a93e77f21.pcm,ba
45f0191284da4dbd80e20692ca8f4ede.pcm,ba
5dbed3b266d946438b3384a634f4ec3a.pcm,ba
79228dea85324934ac199ba1e61e1c80.pcm,ba
84c025c9f4a84745a1f921e3cfaeb24e.pcm,ba
8a28cd54c767483aa93609a6b1cc8f23.pcm,ba
99584c8b714644acb6644b2f56f926cc.pcm,ba
a68e4e4ab98c4a3c990a1b937df12404.pcm,ba
acd228e7e9224370b9cc7eac48762fad.pcm,ba
b4b3588f2ccf4faaac5a9ae137190736.pcm,ba
babede1565ad409a8945332f3a8f89e4.pcm,ba
bad035967985411599c68e2c9215e83c.pcm,ba
ca2ea3a209aa49e9bdd488584de33273.pcm,ba
f0df87090d0f4d82a4703c40a20ec701.pcm,ba
f6e8c641e564499e9d9da15ba61b5fe3.pcm,ba
0cfc87bf9b714f78b802158ad4776fed.pcm,be
1bee09a5895847db9c7fefc778edca1e.pcm,be
1f20396b05be43fc9037b88f7790bef4.pcm,be
36af39e69cc64c429414cd548240772e.pcm,be
4bdaf4d558a44476b041e5e316a07188.pcm,be
5083e43fa6264a79a415e0dac6428798.pcm,be
708c3226435045189a6c90a219c8a0fe.pcm,be
7b348aa985864e5aa9dc9ddaf34bba6d.pcm,be
7f657fb57ad64783afcb7784c7867c46.pcm,be
97ae7650850d46ce8dc184b6cea95335.pcm,be
a2c00ab785de4964856fada399190a6c.pcm,be
b288882fe6354fe480c0765c1e40d9ec.pcm,be
bc04470c5e234b19b96580f366bd3661.pcm,be
ea7143a55a3a42059ff8ef04543a7079.pcm,be
01268910edc04becb6919f23d1a52599.pcm,bi
03ecdb26f74846eea151df184c7f5d04.pcm,bi
0644c65a88094466be5cabf0665de5f5.pcm,bi
0963ef0718454bd291fb29a0f1c8763d.pcm,bi
0e4f231aa66144c8ad2385db557e09d8.pcm,bi
0f620bfc452448478886040686119139.pcm,bi
0f6368dfb96d4fe89677eb9b806616f5.pcm,bi
112849c8f4ba4d3abee8854fbbdfbc95.pcm,bi
12bf4d1dee014678982d395e4120b6aa.pcm,bi
1866be5326d54de48898949ce4b762b0.pcm,bi
1e54e86a9897467fa13b0e6252e77444.pcm,bi
1eaba229f10440859f21f20b3105beeb.pcm,bi
1ee7bcb561f54f81a038929f7f3bfb15.pcm,bi
253b79c16f69405ea1bff968bbbd28ac.pcm,bi
270f23927f1d4000b21aa850bb5bfc74.pcm,bi
2eebbdbe06784d1ea87aa4a6aa339795.pcm,bi
329b77099dda4852a5d20271e6f6620d.pcm,bi
377d7575ea0e44a7a16a192c1e04f245.pcm,bi
4413e1a42b6f430b9e79bb08032160bf.pcm,bi
47698d93bc9d4027a931fd43947df8b1.pcm,bi
4db8bc46b778422b8eda845302d670e0.pcm,bi
558b95e219b84e17a27e780c64af82fc.pcm,bi
5ef7f932ce414cc68c4444dc9f54a10c.pcm,bi
6abb5fed73b5401eb146eeef6b89597c.pcm,bi
734e7abf9c704d3b8baf6003797b72cd.pcm,bi
7e5b268e425649c59de72310d4255257.pcm,bi
7f0dbc7450ab4f47968e95fe9e61d2bd.pcm,bi
7f7aed19848741f1aad87045da31d443.pcm,bi
8342b64c24704ca8b4be4caa5a99a2a5.pcm,bi
8642e6ddd9594160aad30e1d529cbab4.pcm,bi
870410c55c1746f3a94311887d2a43a7.pcm,bi
8761bf0dc36747699015faa4f5e54b09.pcm,bi
9299059c99a342178cc8c6083eb988ad.pcm,bi
929b59848a9f4ee981c4a6cf3543f8c8.pcm,bi
a4ce7a399776487c9e20a3da44295861.pcm,bi
a8f4f6cdaae3437da38860c11d5b4523.pcm,bi
b8e9c2379e6f49dcaeb794e8c4804950.pcm,bi
da0f390b413f43d28ae1ecf24feaec2f.pcm,bi
dcda811a14f0484b98241a6768dad6f8.pcm,bi
e90fa894a394492489df8a80866e0d1f.pcm,bi
ee64158967b2419581a0173de4387e4b.pcm,bi
eea18e86ed4a4d48958317afac8ed9d7.pcm,bi
f469247fec7348378e9828465d51afe0.pcm,bi
f71635191b1645aca4a967daba11abfa.pcm,bi
fd7075b2e65844eba57ed3c1021fba97.pcm,bi
0b1bd39e170548a5ac22cfc3824c9f76.pcm,bo
0cb5df14b08e441cbcbc5e9a29e6fc62.pcm,bo
232020c560a44ef199081ab616ab758b.pcm,bo
287e5483bffe47d0a5157fc89840119a.pcm,bo
3c79541390404f878f2151b4f1d3d708.pcm,bo
4d1c76c8176c4bc1a6d41fba625bde80.pcm,bo
5bb32ba1c8784132af6a761b0a05fa55.pcm,bo
6200194c7e844fa7bfb51a030e3ce74f.pcm,bo
6a4e2fe9b15b4d8f80e5ba86ceada2fe.pcm,bo
759ec23b5eea4b1cbc34ff8694b8ada6.pcm,bo
77ab0be629624dc58aa10846150576e7.pcm,bo
7d83de849ad04deda41f24698a31db41.pcm,bo
7da80e9dec204f168b7db76bdea22414.pcm,bo
7dd53c4d7bf94a4ebad78c239ce95e10.pcm,bo
85e76bb763bd45bba2b3275d2bf56f9c.pcm,bo
877a4af8d86446f7b56893038465f406.pcm,bo
8e27286ca0ca417fa4ed63bd1f382a37.pcm,bo
8ef0b2e1f6cd42cba5e74a8dd3a54b69.pcm,bo
94a5a40076c7429783cd1eaab210826c.pcm,bo
96747552e41e419f9a1aab3b1dfd8eee.pcm,bo
a9de6c6347524602af3a1e5a8c435905.pcm,bo
beb2ac67aeea4e84923974a8f9351d50.pcm,bo
c0eb1145e7c740ca86a884a086f29d22.pcm,bo
cc88f51d761d45c4bff0de2fc3776c44.pcm,bo
cfb4b669003a455692b4cfc617cd659f.pcm,bo
d0e342718c6f4fae8b790afe9db0729f.pcm,bo
d87c97805ac14190ac0951d4c6318ab4.pcm,bo
d9d41dee060247f2b0feb553ffa83173.pcm,bo
e80a4a177eb04f38b69f49d7ebc1b298.pcm,bo
f360bf7e72c64af196c9377cf2b5ff80.pcm,bo
f8302e7626f64262b645b09a28be6a8f.pcm,bo
f99dff4877b44318a673d1e3fc543ff4.pcm,bo
fa27883cede44bd9b41d229bcf9b2c5e.pcm,bo
006f8c78e9324b57902051c9b213ca8b.pcm,bu
219c877902a649ad9c483d818f5fa338.pcm,bu
33955b21f8ba4a588f099c2beb75f93c.pcm,bu
64212a08511c49c0b035ae6b081d1c47.pcm,bu
68905b796df149e28b673eed41243c0f.pcm,bu
6dcccd8c5d1044448d5fb0f2c27faf02.pcm,bu
718b1e519a89489f98b1b0d8e862cce0.pcm,bu
72338e8fb7c54907bd84a0e081736479.pcm,bu
7912409265d846a0be882fa5cc9e59ab.pcm,bu
8144a68e7555437cafb08eb0536fcaff.pcm,bu
923b5756dd0d45be9177fe21d93e03f9.pcm,bu
97090d519e7343af8999e53d21d39619.pcm,bu
a712b885e8284102a852e0c11e774e11.pcm,bu
ae93c55df3194e88bbed2fc43f5f5ac0.pcm,bu
d06e002eef7a4f9296f2ffd97e5dfb83.pcm,bu
d3a480e79b414e10a58f53b4b6343ca8.pcm,bu
416c0e33608a4da191766ad94263d731.pcm,byo
52f71acbbfae490e86561b6f6c9f482d.pcm,byo
5807de1063204235a2f981b905cb64d1.pcm,byo
a1df98239878467f8c3505ac36eadba2.pcm,byo
e1c03cffc6d0424fb000ef7388919b73.pcm,byo
f0942b52d5e44694b2bb86b91e1d9211.pcm,byo
fdd51e26c6404be4aae192dd5c7e5f83.pcm,byo
ff88c16214814144980e2f9dff949780.pcm,byo
058d77c4165041edbbf4145c73bf000e.pcm,cha
0e9a68cb79bb4676bf68c39e35367186.pcm,cha
1433cb321d9a427184f4b590a9f25b9d.pcm,cha
188f26bf025e4bacbacdc44570bafa9a.pcm,cha
1df3830de4314d15985e51ab78c3a7eb.pcm,cha
25551cf601e443d4b2838b8c4a3fb112.pcm,cha
41a31ef9865443df9a2ada2dbf85480f.pcm,cha
4c45f2a32e464a72b8c9bf68b0ddc1eb.pcm,cha
4d2aa155d11a45f0ba0be9fe02bbb8da.pcm,cha
5b1c50b511f04c40b70a53b5e54e1308.pcm,cha
6cffd09584df4e87a0b312bf4534ecfc.pcm,cha
7b0a2b4abdb045bcbeb157485a74cb74.pcm,cha
85ceacc779dc41edb2ae6c6cfb77dcce.pcm,cha
8b204844fbf44c998b1195b2408eb630.pcm,cha
a245991641b64fb9907d8fbda47fcd78.pcm,cha
a908ecdc37e948a0a1a66765c1f32515.pcm,cha
c31ef5256f994a1ca691c408346dcf94.pcm,cha
c58f9e8d0d6e40208ac0773c2952231c.pcm,cha
d35010307eee4c37b56fe1893676fcb4.pcm,cha
e00645f334ba4d82b955b8ce0b7425c7.pcm,cha
e9cd0dea543f45188d30ee2bfd700c32.pcm,cha
ffc2f449223e4ac89089aaeb4b1dc0f7.pcm,cha
01fac0c7a90349efa2bcf8df8d08b091.pcm,chi
048d44d728d3430dab6d0e2def2fc8de.pcm,chi
0ac75221c0764a1181c235ccaf53fc53.pcm,chi
10dc65e0d6a7495e9d526ade1a18a93d.pcm,chi
197caaaf2199408fbff15fc808ee047a.pcm,chi
19e3691a6f9a42aca275f0253812ddba.pcm,chi
1bdbb317c2424fdfb3ea9106c754445f.pcm,chi
1fa1ac04089941b59ecad0d27645e62b.pcm,chi
1fdf8d20150543e7bb9526f4db86b6ae.pcm,chi
208ef4d8d2c249b5a392d7a8c3a2b3f8.pcm,chi
230a4d0c3b2e4a9da2477b26d582e146.pcm,chi
2611aeba88f94388b8d24bfad0941a04.pcm,chi
2feac0709b73444a832749503cc7381d.pcm,chi
3696c453320c4d268be00a3f6e03c035.pcm,chi
3ba344f234fe45f2b66aba359e337833.pcm,chi
4c76411c01a84bdd8b6d2b112b33b37b.pcm,chi
50f64446361b4568bfa7122d0fdfbb7b.pcm,chi
53d9b62341c74527a8c0bf5f67d79f51.pcm,chi
5435f16524a54f6ea899432bd9489b77.pcm,chi
570ddf96357d4b56a9d1496a1c4de2a2.pcm,chi
5ac5b669ac234540b941d67ed1305a10.pcm,chi
5fc0848e4e304870ae24a400267e3cfc.pcm,chi
715b3361d02d4f54bcfc0caee2ea0e3b.pcm,chi
721b456bb65247fd9e07329e74e10969.pcm,chi
7288ac457c2c40619175bcf9aaea61cf.pcm,chi
74c19478db2e4dd39a48d38b9022a8cf.pcm,chi
74ec917807774aed8b0d4e0543881e01.pcm,chi
78a6f1b96ee44d659911a0e47f4e2e00.pcm,chi
7e82eba614b343b083fb24847290943b.pcm,chi
7eaec7c6a09c4a73911955861db52d6e.pcm,chi
82946aceaed84ce6b954055bb212446e.pcm,chi
96bdd356353840c2bad2142dd973da3b.pcm,chi
9a4bee5c910048f0960456091c37df46.pcm,chi
9a5e3d2e308b493ba04d88d7d39ba12c.pcm,chi
a12c7cd651f44c6d9ec5ced0a4e10721.pcm,chi
a8ac938c5b53464d9372bab40e45256b.pcm,chi
a8cd482b6fa340658a5688fdf2c4067a.pcm,chi
b866fdb8f1d64fcaa67425e589cb64b1.pcm,chi
ba9fb5c00e174b348a0cefb88653184d.pcm,chi
be74f37cf9774c3ba215a77466155356.pcm,chi
c18a5f44bcc8403684729ccf83519a9a.pcm,chi
c89dab9d1c0f427dbd747a740b49c506.pcm,chi
cbea788f79bd4fdf92c7d0adf5e9e540.pcm,chi
ccb479723195460e938955f0bf08f2bc.pcm,chi
d40ba72438d5401db1565ee1421bad7e.pcm,chi
d57f3877dd0d498f856ddf0403ad95f0.pcm,chi
dd84b49ca3564dde9e6bc7da25c2ecad.pcm,chi
e184da02479a404c9ad4fef4a4b3d558.pcm,chi
e2db462be9f8404db925d3b97d189bf0.pcm,chi
ec38afd43904407d9c47f68d42e2310f.pcm,chi
f00c4f3ea3ad45a89f15cbdd2303a799.pcm,chi
f22fab36e5c04c5597a5d2593deff9db.pcm,chi
f409c386fc684bda969a8b04fe0a0347.pcm,chi
2119dbd7787a44a4b7afb9aa9985bb80.pcm,cho
2e00fe56099b494882dfced148dee42b.pcm,cho
48c85de2514444a990f60ea92d6bc2a6.pcm,cho
b9929e14df2e4ddd9e541002db2c1369.pcm,cho
bac6180ec2a24bbc8e4b1e2ebddc7c5a.pcm,cho
c46a659cf5be429f89218f8d38a6525f.pcm,cho
03f436dd12ab435faec5ba5fdded9458.pcm,da
0554ef1c9d694fbab464771c23764efc.pcm,da
102be440095044bab6ff490b1f9221fa.pcm,da
4f4d1373a9af4db19be5371ddac9e42b.pcm,da
509f4fa37408443e84efade46132bf2e.pcm,da
50e38717a9744f398788caf9c377ab26.pcm,da
6cc70c44388943839118ace091e40d8b.pcm,da
99f95035d7ba49feb8f1d7ed68d11c6b.pcm,da
9b9ba29faeb84cc984a00e21916065ba.pcm,da
9f690d1c5e5b4ac2bd66cc641585cbab.pcm,da
adce623dfbcd4ee18e5ba3327b267676.pcm,da
afc5cc434b4447c0845edf3b9bd5a2aa.pcm,da
bc01cf9cadfb4de9ae2ac5493baa49c9.pcm,da
c47978f4ca3f4d68a3d9c75d654f9896.pcm,da
d92fd5024ed344f28af0c86fd563e220.pcm,da
e992651e222a47848d5ff3b24d5efcec.pcm,da
ee9989d788a84c809c2350573e308152.pcm,da
ef16221b30214df9b86e0dd0dd1c2056.pcm,da
eff7e70cec1945689488f20748278179.pcm,da
f9c7d679bd1f476985b9b5c67ab2cd8b.pcm,da
06b7ff81f5894975a52e50cc8561f9a5.pcm,de
46ef7eb9c07e4ae0bba146ebbed0f630.pcm,de
5197f0d2f9d947d780e865cc9e7312ce.pcm,de
5a7a22a509684e209f9d8ab5aef58f15.pcm,de
6921261068e1451084db929e341107da.pcm,de
bb40026f756d4b85b52d0e4853a6d20f.pcm,de
cbace3a8f480448bae6f4c682e353829.pcm,de
d2fd2d06c74f486b848f8981bfb0bdba.pcm,de
eb37d12271be4b7b8f73cef9c42b188f.pcm,de
ee4954973705481281ccbbb20e2bb7c1.pcm,de
1e7fbc2757a44b20aed3d9b3e737eadd.pcm,do
60edb33397ee48559045a8fc7d7df9a9.pcm,do
8e1f77a7864d499da3ef2065ad9d151a.pcm,do
98ddfd51678a4361b9d0994375e51a03.pcm,do
9e5f000304544cc7b2797c1a078a4e42.pcm,do
a613abf1be4f47efbbd0c16727bdee12.pcm,do
b0d311010d724a2481adcfea1898c78e.pcm,do
b17a5ff30de047a39f04a81bb3c20dc0.pcm,do
bab51415e833452293961c0282f0aa16.pcm,do
c548a73413cf4f85a71273099b886995.pcm,do
f04c3b080a9b43f1b81a76795d5d1c6b.pcm,do
f28366b4b3304c4f8af191381b3474ad.pcm,do
2e956a72fbed44879b45d289188105b1.pcm,e
5f212ad49e0d49658810288a7ca59964.pcm,e
682c5ec128db4a328605ff5711c0325d.pcm,e
6d3cd25361bf4bc6aa17326fa9c4f9a9.pcm,e
a299388f3544409c8e9349069d2e1745.pcm,e
c70b87b92d8242c19a646ea2c338a7f2.pcm,e
c7c6bee5d9c84030811d79dede1b2074.pcm,e
ca2eebec87e94e2f960ed8ac218effae.pcm,e
ebae12c511064cce9237eb504723f00d.pcm,e
ecfaea92d2a846e995ed969eec3f571e.pcm,e
0ace73f0ac584775a1039c3f2d200727.pcm,fu
1f87d26414944f539a50ad1942b89278.pcm,fu
21f4368b854c4e819c630fce2a6689fc.pcm,fu
298f05f33a6e448aa616f7c5316c4530.pcm,fu
31adbafe5b1e494ab5f9f16d62b12f7d.pcm,fu
33d9496568d040d79e6fb669de563957.pcm,fu
45ce7a1c0b7d45089dc65e886bb4ccd8.pcm,fu
4e3c4370df8a401f9a3b59b4dd67f1eb.pcm,fu
51335d98269e4aad80b6af8e85d8f9fc.pcm,fu
58b971e7ce084682b63eb8f853e350ab.pcm,fu
6e89dc5881cb4dbc997809a9126c28cf.pcm,fu
7601225b07fb488386787f7bdbbeca35.pcm,fu
760a0c335030442b810e9901c975af08.pcm,fu
81ac394e6ed34d7da481fb0d36068131.pcm,fu
88d302ad837b4a67b685083c8967fa83.pcm,fu
8be64c1d3b6f4b60b247ee5c018f9078.pcm,fu
9066cbd91d574d0eaac0e757232e5b6e.pcm,fu
90aa6444c90546f3a909b0f313284f2b.pcm,fu
959dc85793f541b2ae16d868919b7de3.pcm,fu
9fc680e2d12c454d9f0151534372d46a.pcm,fu
aa97c004185f4a088b4bd88bbf0bc1ee.pcm,fu
b74c721f8e4d40b3bd70bd2d2e694968.pcm,fu
bcbacfa08917427988335c53cb0eba35.pcm,fu
bd24933519d14a2286ae2f0beee133a5.pcm,fu
d05ef7aa640249108772d7ce5b5bd406.pcm,fu
dcd488129d394452be3a2c90025473e0.pcm,fu
004892d642d04fa497cd64ed73bc3d1d.pcm,ga
3a3ec417d8a54c3aa141e68485b8adc8.pcm,ga
6dee64b98891408b8e932a044acb4608.pcm,ga
79700545eaac4162aaf8c6b3590d036f.pcm,ga
7e5bf47d1f08431b8683724dde420737.pcm,ga
9b11bf800bbd435b9099aaf6891caebe.pcm,ga
b89beb7ec2104e3a8153f09993a85338.pcm,ga
bef952069fa3409184ed211ca37c483f.pcm,ga
d019f566033a4245845c2c040fa35a88.pcm,ga
f268a5cb5f894dce9570f1c1661c8b3f.pcm,ga
00bb0b709c2f4b2a9a1dc2ac17ac254d.pcm,ge
0168283d73e74e3790b7a4edfa12331d.pcm,ge
0431ce7858ec4ebd80054811fcfb725c.pcm,ge
06a1b45986284137809a673734a44499.pcm,ge
0ccc36e83a734ace8ceb2aefcda8caf5.pcm,ge
10f1962f2fdf4ff8a61128524db57788.pcm,ge
1260fd1c9a3046989bfae1a32cc04334.pcm,ge
193392ae36a942518064763e4405c781.pcm,ge
28df692669ce4a0fbd5c73ca8f091ec9.pcm,ge
3a0898430ba14d069ab138fc18fd7594.pcm,ge
3b1d741466ac4f2ab656ae09536ae2a6.pcm,ge
3b3f1d91e6124746946138722c6c45d2.pcm,ge
3e69e2927b5f4ee281aebf40579816b9.pcm,ge
45612e117ac2454f9d96dfe4b7830ad0.pcm,ge
4d25a959b49848f181c25ffd5b1b240a.pcm,ge
4de6a33301cd49c58d2c6eb6fde11c1b.pcm,ge
52036ac58b014603bfcc3c2e1c3beb76.pcm,ge
55b73b5d97b04229aa2aec49e6e498b6.pcm,ge
57244984c2ae42458de3c0e008d9f39c.pcm,ge
582cfd47249f4d06a5b350517b8a67d4.pcm,ge
59fc9fc5252c4ddea390cedeff24f9ae.pcm,ge
5df0dd80a7e84486ac650d94ce80edc4.pcm,ge
655d68ff31844e83bda92a2db564ef2b.pcm,ge
6597a50980014366b33f424ec080a340.pcm,ge
73cf1b35093d4be285bb063176e87489.pcm,ge
972fa20766ec4f8c8b9962256a25bf8a.pcm,ge
97fbfb8743094ed195afab3a0654eb9c.pcm,ge
9b34ad3744154beb96fb7a80a6a721c1.pcm,ge
9b7be0d4372b48cca3045b63ad0d16f0.pcm,ge
9c62d6ecbaf44daab9e622a91c9fb597.pcm,ge
a3fce78cb4d94d8ea1679b4f055a0d48.pcm,ge
ae0fb142428a40d4979b72a9ee57273f.pcm,ge
b39782d9159349b6978aff35f5f831bc.pcm,ge
b8ec18de17ff4e32a990e60714a88232.pcm,ge
c71d2a12a963464f8c43a9bb40763c9d.pcm,ge
cd29e2dcdbb449c5a7ac1391c7de16c1.pcm,ge
d2c15533474d4cbe8fc3087c38b32685.pcm,ge
dcfd2dbdf763419580bebd8c3f274393.pcm,ge
e6019897a624428ba000798df3a259c6.pcm,ge
e721bdcc0aba48f18ee58775b8d693c1.pcm,ge
e764c3397ba74ebe808f46b0db53a6f0.pcm,ge
e7b85080cb7448d7a1195ff9a0ba0418.pcm,ge
ebc4b7388c0a4fe0a487153097571cad.pcm,ge
ecee2d4bb6aa428d867b96eaf56cac3f.pcm,ge
f2f2aaf2105342dba92831dd06c039e1.pcm,ge
f4f2973236d047a98d4319d45d892478.pcm,ge
37110ab4de6844b8aca59823e5ed3350.pcm,gi
37b2c42645a94215930407e43a217ec4.pcm,gi
387751aa8d3c4f09821b297f3a2a606f.pcm,gi
5595084ffc8c4818875d25cca75cdaf6.pcm,gi
9fa1058047d54ace9c104ad2b1655510.pcm,gi
be1014afa9d9429eb4e0bcd0542c867e.pcm,gi
d74c7d268c834124818fa208baa98936.pcm,gi
04cc1891f0464762a30770fc7057ca05.pcm,go
0a7b7cb12ffc45b3950d2a1f5b7d9328.pcm,go
1447c98db4bd4569ba37803f54d7f504.pcm,go
190619470f7e4c3bbd28da14677e3e2d.pcm,go
19941a0146cb4519b49647d0a383b634.pcm,go
219a2272a7504e82b5a113d8fbddad4a.pcm,go
2832689b76f94fb9999aa07292c6bde6.pcm,go
2bbcbee27ec54a0084d45fbbe854dfeb.pcm,go
2be4997403674aa5ab1505dbf57b233b.pcm,go
2e85577fdf2b4e10a34627368bed8a2e.pcm,go
32aeb15a1f4c43b1a4aeb7ccae521aba.pcm,go
41491cffac8942e38d0c148e4f22c65f.pcm,go
505f12a6bf984109baf6e78ccd6d0fbe.pcm,go
5209e793964f454c8ea238f80d6ebcf7.pcm,go
54096614fd5e4f289b697f6601005c91.pcm,go
56b5740cd5be41afaf24163e2ed02629.pcm,go
5b853511cb4948928d879a366567270e.pcm,go
5e653e85fd3047ff9504068a5bccd727.pcm,go
67ad9504e7da48f48cda608dac1e9438.pcm,go
67f7275f424a48549f1889c24fa95079.pcm,go
69896287a31749e389d8132098d354b7.pcm,go
6c23025be56447cf94707960aadc076c.pcm,go
72e32f911c0c4f61a3dd23feb4dfc5b7.pcm,go
7a0c9612047a437d910cf34e19817d67.pcm,go
7ac59818b95647ce92d711677e900a0b.pcm,go
7b69b6777a4d424ca788a5a13dd2331f.pcm,go
7cc5675d40eb42e5832addbd377856be.pcm,go
7f590f8135e74fc39a12343f780ff6fe.pcm,go
85140e5f802e4eb8811b88add936d623.pcm,go
87558f9f4f12434d864a0d7200b5df29.pcm,go
93d3c4a56d844184a22a63b1c6e0ec7b.pcm,go
94ffd085c205429ab2409ea51462abd3.pcm,go
97a4a4d776f54d00b120228d2051941c.pcm,go
a2a26517a7014ff68ba8c04f1580ac88.pcm,go
aa4592faf5664946915b2d0fc9eacc3e.pcm,go
aaa3657352914125b704b6ede226a55f.pcm,go
acdfd89584e14049bc4c6f0cb7f2a787.pcm,go
b4c0ffb5c30b4e4faf3892040c35180c.pcm,go
b6011af84002458984c6b23893816c44.pcm,go
bef1941ba4584aaf9bf6e5a80fd93e1f.pcm,go
c5bd2afab4f44c6487c16021a52c9197.pcm,go
c5edff6b8e23435098ce3bac18cc52cc.pcm,go
c8ae569016b0432b9d5dcd6ac81ffa85.pcm,go
cb77b82e50934b179c7271400b7a9b41.pcm,go
cbc2426331614fec851c320addcb5582.pcm,go
cbc9f3f8d75041e99a6477da1661332c.pcm,go
cc297dc8b45e4e5a97bbce9b0a87e276.pcm,go
d09bfcab3dbf412b9655547a7e000f34.pcm,go
d4c728ff36df49798de2065155235d34.pcm,go
db9c9fe1ff944f7fa13fd2f409122155.pcm,go
e09eef9f82b54e219b86e5ffa980b41d.pcm,go
e60989c796af4e5bb9dc4a34fbd6d204.pcm,go
ee5fe5a062984111ac5c549d2656fda6.pcm,go
f144fd00fd854a0685c24f0e878e80a6.pcm,go
f7de35060de546f9a43060dd2f37f6e0.pcm,go
ff4f3dcd19b64a848e5ce1b54532e8a5.pcm,go
46a34f5bb689459d9c2e1513793b6d71.pcm,gu
5f2e2d93feac4c0caca7bd99e1905318.pcm,gu
aa2b5dcbd66d4f4796596ee1a504dfb7.pcm,gu
26a70f03098647499aa4b4055e003fea.pcm,gyu
7093809ab95649749cf3e0ba21c1b90b.pcm,gyu
e03a6c81ab584be9a9a897d1a3b64a08.pcm,gyu
03671e64ef4d4efc8650babc32781a69.pcm,ha
0a7d88ac12a6415aa442d4ab449baf70.pcm,ha
0cf16e07b02f47a6b641f2509a72b312.pcm,ha
114c176ed3214b5d82d9ebb5f2d49769.pcm,ha
12b3bce02a65413ca93e79b295a145b7.pcm,ha
16ce0eb91b784cc59c2a3aae6672b012.pcm,ha
27be626cf4e841098da4c0b678e77636.pcm,ha
28c77e0a2f944e7f961187aa27c27f8a.pcm,ha
29c4f61ff6974294bdb6526dbd7b5ea9.pcm,ha
2bc9a41dfc10458aa1693c5cb4b131d5.pcm,ha
2f107c5ccb1943a5a257256742579f53.pcm,ha
3042794bc72b46e6a3bb3f36b4931af1.pcm,ha
32053358df6a418fbbb37a2a9c5edb61.pcm,ha
339cb3fd8fa145d09cf99654305ab21d.pcm,ha
35bc75d5fdd040c8a5b6d832b9084cf7.pcm,ha
3702f09222bd4606bc13658a3d564157.pcm,ha
3861f54a64024d9e882148713c5c4ef3.pcm,ha
39b666a6d7034ff782502d139c26d62f.pcm,ha
